ID,TOTAL,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66,HD01_VD67,HD01_VD68,HD01_VD69,HD01_VD70,HD01_VD71,HD01_VD72,HD01_VD73,HD01_VD74,HD01_VD75,HD01_VD76,HD01_VD77,HD01_VD78,HD01_VD79,HD01_VD80,HD01_VD81,HD01_VD82,HD01_VD83,HD01_VD84,HD01_VD85,HD01_VD86,HD01_VD87,HD01_VD88,HD01_VD89,HD01_VD90,HD01_VD91,HD01_VD92,HD01_VD93,HD01_VD94,HD01_VD95,HD01_VD96,HD01_VD97,HD01_VD98,HD01_VD99,HD01_VD100,HD01_VD101,HD01_VD102,HD01_VD103,HD01_VD104,HD01_VD105,HD01_VD106,HD01_VD107,HD01_VD108,HD01_VD109,HD01_VD110,HD01_VD111,HD01_VD112,HD01_VD113,HD01_VD114,HD01_VD115,HD01_VD116,HD01_VD117,HD01_VD118,HD01_VD119
36081004300,2214,913,1062,686,376,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,12,7,0,7,62,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,9,0,9,0,0,0
36081004401,3472,1112,801,389,412,0,0,0,0,0,0,43,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,815,582,0,0,0,62,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,10,0,0,0,0,0,0,0,0,0
36081004500,3374,1616,633,274,359,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,10,53,10,0,10,44,15,29,14,14,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,85,46,39,19,19,0,162,162,0,218,109,109,37,37,0,25,20,5,0,0,0,0,0,0,36,21,15,0,0,0,66,15,51,0,0,0,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,21,21,0,0,0,0,0,0,0
36081004700,3813,2081,1021,431,590,53,19,34,0,0,0,7,7,0,54,44,10,0,0,0,0,0,0,21,21,0,0,0,0,37,0,37,37,25,12,51,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,21,34,21,13,123,30,93,18,18,0,54,26,28,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,73,72,0,0,0,18,18,0,0,0,0
36081005000,37,8,14,0,14,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081005100,2121,560,235,92,143,14,9,5,0,0,0,27,27,0,26,5,21,4,4,0,2,2,0,0,0,0,0,0,0,16,8,8,0,0,0,4,4,0,15,0,15,0,0,0,24,24,0,0,0,0,0,0,0,10,10,0,0,0,0,776,368,408,0,0,0,88,34,54,41,24,17,33,10,23,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,13,13,0,122,84,38,0,0,0,0,0,0,0,0,0,0,0,0,92,47,45,5,5,0,0,0,0,0,0,0
36081005200,2549,761,849,437,412,22,22,0,5,5,0,9,9,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,29,124,95,29,371,165,206,0,0,0,155,41,114,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,60,60,0,40,27,13,0,0,0,0,0,0,0,0,0,0,0,0,27,5,22,0,0,0,0,0,0,0,0,0
36081005300,3826,1766,807,545,262,12,12,0,0,0,0,86,75,11,129,70,59,0,0,0,0,0,0,13,13,0,69,69,0,93,93,0,0,0,0,64,64,0,15,15,0,90,49,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,121,28,42,42,0,155,89,66,113,34,79,47,23,24,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,12,0,12,52,27,25,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,43,43,0,0,0,0,0,0,0
36081005400,5276,2202,1830,996,834,39,39,0,0,0,0,17,0,17,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,137,43,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,10,0,77,23,54,377,195,182,0,0,0,169,42,127,35,0,35,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,1,1,0,172,153,19,0,0,0,0,0,0,0,0,0,0,0,0,78,55,23,0,0,0,0,0,0,0,0,0
36081005500,931,211,314,121,193,11,5,6,0,0,0,62,31,31,76,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0,15,10,5,0,0,0,0,0,0,0,0,0,141,57,84,0,0,0,20,16,4,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
36081005700,4192,1386,1540,603,937,24,24,0,0,0,0,0,0,0,148,110,38,8,8,0,0,0,0,0,0,0,0,0,0,111,59,52,29,20,9,22,13,9,0,0,0,52,38,14,0,0,0,0,0,0,0,0,0,0,0,0,92,48,44,338,179,159,175,109,66,15,15,0,122,35,87,37,20,17,0,0,0,0,0,0,31,20,11,0,0,0,0,0,0,9,9,0,53,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
